state,cases,deaths,Population,Population..20..,Population..65..,mask_ratio,home_ratio,Fatality_Rate,Diabetes_Diagnosed_Perc,Asthma_Deaths_Perc,Obesity_Perc,Stroke_Death_Perc,Heart_Disease_Death_Perc,Smoker_Perc,Chronic_Respiratory_Disease_Death_Perc,Unemployment_Perc,Minority_Percentage,Crowding_Perc,Multi_Unit_Perc,Poverty_Perc,Senior_Perc,ICUBeds,ICUBedsPer10000,HouseholdIncome
Alabama,504561,10379,4754221,3569938,802656,0.7272727272727273,0.08333333333333333,0.02057035720160694,0.10771880398492203,1.3263618287833065e-5,0.3603951063696871,5.112111060886737e-4,0.0022141307600130494,0.20578723066888108,7.267160003710387e-4,0.06682392635933415,0.33946160117504004,0.01706377301349685,0.07398926743203567,0.17363879655573436,0.168830182694494,1870,3.9,50536
Alaska,60176,285,696053,506246,81432,0.07713498622589532,0.08653846153846154,0.00473610741823983,0.060133351914293885,1.548918918530629e-5,0.3189609771095017,3.8811092402446366e-4,0.0013533867564682574,0.19166505012893845,5.156122867080524e-4,0.07301017020255642,0.3763049336760275,0.06887490751422665,0.08051254286670699,0.10286770116643416,0.11699109119564172,130,1.8,77640
Arizona,844913,16986,7162163,5327119,1257002,0,0.14743589743589744,0.020103845011261515,0.06996182577805057,1.0866650661259733e-5,0.2792847158044295,3.0541139820470435e-4,0.001371431553289139,0.1663081141055728,5.142262971395652e-4,0.06577133109090089,0.44872690945458793,0.04561619639206759,0.11980621147549979,0.1606106702681857,0.17550591909176042,1742,2.5,58945
Arkansas,298571,5028,2729590,2016536,456292,0.696969696969697,0,0.01684021556011803,0.09736773654651432,1.4662076465696315e-5,0.3474012203297931,4.2808067365428503e-4,0.002222624596734308,0.2242958285893328,6.823629603713378e-4,0.05598632468612502,0.28252519316087765,0.02698149941932671,0.07155164695064094,0.1750917185364835,0.16716503211104963,856,2.9,47597
California,3683398,59769,39555944,29532613,5668745,0.8044077134986226,1,0.016226592944884044,0.06555755564827374,1.132547845906547e-5,0.24466787241887086,3.731613890443368e-4,0.0014350030157035312,0.13017282477447467,4.226685658923979e-4,0.06846993688230522,0.6244873331552901,0.08308127362603204,0.1716843798494608,0.14302068561427836,0.14330956176902263,8131,2.1,75235
Colorado,458608,6035,5514613,4140119,776448,0.7272727272727273,0.10256410256410256,0.013159386665736315,0.04866089424588815,1.0629685637051957e-5,0.22486316446865812,3.5845293296193225e-4,0.0012498425657430539,0.15632444674654636,5.685107567838396e-4,0.047983156025635895,0.320854963349196,0.027021345831520723,0.1657356220645039,0.11033842465464032,0.1407982754184201,1770,3.2,72331
Connecticut,315542,7912,3572665,2733719,615121,0.9669421487603306,0,0.02507431657275418,0.06974233520355252,9.682815405306682e-6,0.2628541002305002,2.7043509201114574e-4,0.0014284952722967308,0.14071898734554314,4.3628904893125995e-4,0.0652038022036771,0.32450359213640234,0.018746136567520322,0.12560635016157407,0.10021055738503332,0.1721742732665951,731,2.1,78444
Delaware,96373,1566,967171,738096,181086,0.9449035812672176,0.22115384615384615,0.016249364448548867,0.08840732404094002,1.1205850051335286e-5,0.3244871982307162,4.550947805506989e-4,0.0015996956691215927,0.18790607304414256,5.185791623197966e-4,0.0589425954665721,0.3713663509348399,0.01618882389980676,0.10605783672173795,0.1187726389645678,0.18723266102891836,249,2.7,68287
District of Columbia,45234,1074,702455,553743,85303,0.7107438016528925,0.1858974358974359,0.02374320201618252,0.06313856403613043,1.56e-5,0.23999999999999996,3.64e-4,0.0019549999999999997,0.1538218526,3.02e-4,0.07400000000000001,0.638,0.036000000000000004,0.462,0.168,0.12143553679595134,401,6,NA
Florida,2068786,33486,21172397,16485978,4332984,0,0.14423076923076922,0.01618630443168119,0.08258186354620121,9.37608415806675e-6,0.2719289183931323,4.0547668556375544e-4,0.0014803892606491367,0.18423952877002436,4.822497685075525e-4,0.06316587248009756,0.45640569648301993,0.031180055663985518,0.19892981115931277,0.14775336850145027,0.20465250108431274,6226,3,55660
