"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",90.1,"28.1 - 147.3 (644)"
02016,"""Aleutians West, (AK)""",85.1,"28.1 - 147.3 (644)"
02020,"""Anchorage, (AK)""",125.6,"28.1 - 147.3 (644)"
02050,"""Bethel, (AK)""",181,"167.7 - 186.9 (647)"
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",121.7,"28.1 - 147.3 (644)"
02070,"""Dillingham, (AK)""",192.4,"187.0 - 216.6 (634)"
02090,"""Fairbanks North Star, (AK)""",142.2,"28.1 - 147.3 (644)"
02100,"""Haines, (AK)""",135.9,"28.1 - 147.3 (644)"
02105,"""Hoonah-Angoon, (AK)""",140.9,"28.1 - 147.3 (644)"
02110,"""Juneau, (AK)""",138.7,"28.1 - 147.3 (644)"
02122,"""Kenai Peninsula, (AK)""",146.6,"28.1 - 147.3 (644)"
02130,"""Ketchikan Gateway, (AK)""",143.1,"28.1 - 147.3 (644)"
02150,"""Kodiak Island, (AK)""",148.9,"147.4 - 167.6 (641)"
02164,"""Lake and Peninsula, (AK)""",151.4,"147.4 - 167.6 (641)"
02170,"""Matanuska-Susitna, (AK)""",117.7,"28.1 - 147.3 (644)"
02180,"""Nome, (AK)""",251.8,"216.7 - 502.5 (641)"
02185,"""North Slope, (AK)""",181.7,"167.7 - 186.9 (647)"
02188,"""Northwest Arctic, (AK)""",214.3,"187.0 - 216.6 (634)"
02195,"""Petersburg, (AK)""",125.5,"28.1 - 147.3 (644)"
02198,"""Prince of Wales-Hyder, (AK)""",150.6,"147.4 - 167.6 (641)"
02220,"""Sitka, (AK)""",145.4,"28.1 - 147.3 (644)"
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",131.5,"28.1 - 147.3 (644)"
02261,"""Valdez-Cordova, (AK)""",124.2,"28.1 - 147.3 (644)"
02158,"""Kusilvak, (AK)""",28.1,"28.1 - 147.3 (644)"
02275,"""Wrangell, (AK)""",131.5,"28.1 - 147.3 (644)"
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",149.5,"147.4 - 167.6 (641)"
06001,"""Alameda, (CA)""",112.2,"28.1 - 147.3 (644)"
06005,"""Amador, (CA)""",152.5,"147.4 - 167.6 (641)"
06007,"""Butte, (CA)""",176.9,"167.7 - 186.9 (647)"
06009,"""Calaveras, (CA)""",157.4,"147.4 - 167.6 (641)"
06011,"""Colusa, (CA)""",158.4,"147.4 - 167.6 (641)"
06013,"""Contra Costa, (CA)""",110.2,"28.1 - 147.3 (644)"
06015,"""Del Norte, (CA)""",158.5,"147.4 - 167.6 (641)"
06017,"""El Dorado, (CA)""",133.1,"28.1 - 147.3 (644)"
06021,"""Glenn, (CA)""",175.2,"167.7 - 186.9 (647)"
06023,"""Humboldt, (CA)""",167.3,"147.4 - 167.6 (641)"
06031,"""Kings, (CA)""",174.1,"167.7 - 186.9 (647)"
06033,"""Lake, (CA)""",163.4,"147.4 - 167.6 (641)"
06035,"""Lassen, (CA)""",178.8,"167.7 - 186.9 (647)"
06041,"""Marin, (CA)""",93.9,"28.1 - 147.3 (644)"
06043,"""Mariposa, (CA)""",177,"167.7 - 186.9 (647)"
06045,"""Mendocino, (CA)""",146.3,"28.1 - 147.3 (644)"
06047,"""Merced, (CA)""",166.4,"147.4 - 167.6 (641)"
06049,"""Modoc, (CA)""",183.6,"167.7 - 186.9 (647)"
06053,"""Monterey, (CA)""",107.9,"28.1 - 147.3 (644)"
06055,"""Napa, (CA)""",132.5,"28.1 - 147.3 (644)"
06057,"""Nevada, (CA)""",137.6,"28.1 - 147.3 (644)"
06061,"""Placer, (CA)""",126.6,"28.1 - 147.3 (644)"
06063,"""Plumas, (CA)""",165.3,"147.4 - 167.6 (641)"
06067,"""Sacramento, (CA)""",151.6,"147.4 - 167.6 (641)"
06069,"""San Benito, (CA)""",125.1,"28.1 - 147.3 (644)"
06075,"""San Francisco, (CA)""",109.5,"28.1 - 147.3 (644)"
06077,"""San Joaquin, (CA)""",158.7,"147.4 - 167.6 (641)"
06079,"""San Luis Obispo, (CA)""",124.2,"28.1 - 147.3 (644)"
06081,"""San Mateo, (CA)""",108.8,"28.1 - 147.3 (644)"
06083,"""Santa Barbara, (CA)""",130.8,"28.1 - 147.3 (644)"
06085,"""Santa Clara, (CA)""",99.8,"28.1 - 147.3 (644)"
06087,"""Santa Cruz, (CA)""",110.6,"28.1 - 147.3 (644)"
06089,"""Shasta, (CA)""",195,"187.0 - 216.6 (634)"
06091,"""Sierra, (CA)""",179.4,"167.7 - 186.9 (647)"
06093,"""Siskiyou, (CA)""",177.8,"167.7 - 186.9 (647)"
06095,"""Solano, (CA)""",124.5,"28.1 - 147.3 (644)"
06097,"""Sonoma, (CA)""",128.7,"28.1 - 147.3 (644)"
06099,"""Stanislaus, (CA)""",186.4,"167.7 - 186.9 (647)"
06101,"""Sutter, (CA)""",159.9,"147.4 - 167.6 (641)"
06103,"""Tehama, (CA)""",187,"187.0 - 216.6 (634)"
06105,"""Trinity, (CA)""",168.7,"167.7 - 186.9 (647)"
06109,"""Tuolumne, (CA)""",167.1,"147.4 - 167.6 (641)"
06113,"""Yolo, (CA)""",126.1,"28.1 - 147.3 (644)"
06115,"""Yuba, (CA)""",203,"187.0 - 216.6 (634)"
15001,"""Hawaii, (HI)""",144.8,"28.1 - 147.3 (644)"
15003,"""Honolulu, (HI)""",127,"28.1 - 147.3 (644)"
15005,"""Kalawao, (HI)""",112.4,"28.1 - 147.3 (644)"
15007,"""Kauai, (HI)""",118.3,"28.1 - 147.3 (644)"
15009,"""Maui, (HI)""",115.9,"28.1 - 147.3 (644)"
41003,"""Benton, (OR)""",112.8,"28.1 - 147.3 (644)"
41005,"""Clackamas, (OR)""",118.3,"28.1 - 147.3 (644)"
41007,"""Clatsop, (OR)""",149.5,"147.4 - 167.6 (641)"
41009,"""Columbia, (OR)""",152,"147.4 - 167.6 (641)"
41011,"""Coos, (OR)""",171.8,"167.7 - 186.9 (647)"
41013,"""Crook, (OR)""",144.8,"28.1 - 147.3 (644)"
41015,"""Curry, (OR)""",160.9,"147.4 - 167.6 (641)"
41017,"""Deschutes, (OR)""",128.9,"28.1 - 147.3 (644)"
41019,"""Douglas, (OR)""",139.3,"28.1 - 147.3 (644)"
41021,"""Gilliam, (OR)""",131.9,"28.1 - 147.3 (644)"
41027,"""Hood River, (OR)""",142.6,"28.1 - 147.3 (644)"
41029,"""Jackson, (OR)""",124.3,"28.1 - 147.3 (644)"
41031,"""Jefferson, (OR)""",144.3,"28.1 - 147.3 (644)"
41033,"""Josephine, (OR)""",129.8,"28.1 - 147.3 (644)"
41035,"""Klamath, (OR)""",157.7,"147.4 - 167.6 (641)"
41037,"""Lake, (OR)""",145.9,"28.1 - 147.3 (644)"
41039,"""Lane, (OR)""",127.2,"28.1 - 147.3 (644)"
41041,"""Lincoln, (OR)""",131,"28.1 - 147.3 (644)"
41043,"""Linn, (OR)""",154.3,"147.4 - 167.6 (641)"
41047,"""Marion, (OR)""",130,"28.1 - 147.3 (644)"
41051,"""Multnomah, (OR)""",136.8,"28.1 - 147.3 (644)"
41053,"""Polk, (OR)""",115.1,"28.1 - 147.3 (644)"
41055,"""Sherman, (OR)""",161,"147.4 - 167.6 (641)"
41057,"""Tillamook, (OR)""",128.7,"28.1 - 147.3 (644)"
41065,"""Wasco, (OR)""",149.8,"147.4 - 167.6 (641)"
41067,"""Washington, (OR)""",112.7,"28.1 - 147.3 (644)"
41069,"""Wheeler, (OR)""",158.1,"147.4 - 167.6 (641)"
41071,"""Yamhill, (OR)""",141.1,"28.1 - 147.3 (644)"
53007,"""Chelan, (WA)""",118.2,"28.1 - 147.3 (644)"
53009,"""Clallam, (WA)""",126.4,"28.1 - 147.3 (644)"
53011,"""Clark, (WA)""",138.9,"28.1 - 147.3 (644)"
53015,"""Cowlitz, (WA)""",174.4,"167.7 - 186.9 (647)"
53027,"""Grays Harbor, (WA)""",158.8,"147.4 - 167.6 (641)"
53029,"""Island, (WA)""",131.6,"28.1 - 147.3 (644)"
53031,"""Jefferson, (WA)""",131.2,"28.1 - 147.3 (644)"
53033,"""King, (WA)""",116.2,"28.1 - 147.3 (644)"
53035,"""Kitsap, (WA)""",146.8,"28.1 - 147.3 (644)"
53037,"""Kittitas, (WA)""",133.7,"28.1 - 147.3 (644)"
53039,"""Klickitat, (WA)""",123.3,"28.1 - 147.3 (644)"
53041,"""Lewis, (WA)""",181.6,"167.7 - 186.9 (647)"
53045,"""Mason, (WA)""",151,"147.4 - 167.6 (641)"
53047,"""Okanogan, (WA)""",141.1,"28.1 - 147.3 (644)"
53049,"""Pacific, (WA)""",217.8,"216.7 - 502.5 (641)"
53053,"""Pierce, (WA)""",165.4,"147.4 - 167.6 (641)"
