"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",1.7,"0.0 - 32.6 (652)"
02016,"""Aleutians West, (AK)""",0,"0.0 - 32.6 (652)"
02020,"""Anchorage, (AK)""",34.4,"32.7 - 37.1 (650)"
02050,"""Bethel, (AK)""",59.2,"46.2 - 112.3 (634)"
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",38.9,"37.2 - 40.7 (628)"
02070,"""Dillingham, (AK)""",59.6,"46.2 - 112.3 (634)"
02090,"""Fairbanks North Star, (AK)""",52.2,"46.2 - 112.3 (634)"
02100,"""Haines, (AK)""",24.9,"0.0 - 32.6 (652)"
02105,"""Hoonah-Angoon, (AK)""",26.5,"0.0 - 32.6 (652)"
02110,"""Juneau, (AK)""",25.3,"0.0 - 32.6 (652)"
02122,"""Kenai Peninsula, (AK)""",35.7,"32.7 - 37.1 (650)"
02130,"""Ketchikan Gateway, (AK)""",35,"32.7 - 37.1 (650)"
02150,"""Kodiak Island, (AK)""",20.4,"0.0 - 32.6 (652)"
02164,"""Lake and Peninsula, (AK)""",60.8,"46.2 - 112.3 (634)"
02170,"""Matanuska-Susitna, (AK)""",39.2,"37.2 - 40.7 (628)"
02180,"""Nome, (AK)""",41.7,"40.8 - 46.1 (652)"
02185,"""North Slope, (AK)""",67.2,"46.2 - 112.3 (634)"
02188,"""Northwest Arctic, (AK)""",64,"46.2 - 112.3 (634)"
02195,"""Petersburg, (AK)""",66.5,"46.2 - 112.3 (634)"
02198,"""Prince of Wales-Hyder, (AK)""",50.5,"46.2 - 112.3 (634)"
02220,"""Sitka, (AK)""",44.2,"40.8 - 46.1 (652)"
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",44.5,"40.8 - 46.1 (652)"
02261,"""Valdez-Cordova, (AK)""",35.2,"32.7 - 37.1 (650)"
02158,"""Kusilvak, (AK)""",17.1,"0.0 - 32.6 (652)"
02275,"""Wrangell, (AK)""",29,"0.0 - 32.6 (652)"
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",40.5,"37.2 - 40.7 (628)"
06001,"""Alameda, (CA)""",40.2,"37.2 - 40.7 (628)"
06005,"""Amador, (CA)""",37.9,"37.2 - 40.7 (628)"
06007,"""Butte, (CA)""",44.3,"40.8 - 46.1 (652)"
06009,"""Calaveras, (CA)""",36,"32.7 - 37.1 (650)"
06011,"""Colusa, (CA)""",39.1,"37.2 - 40.7 (628)"
06013,"""Contra Costa, (CA)""",42.5,"40.8 - 46.1 (652)"
06015,"""Del Norte, (CA)""",40.4,"37.2 - 40.7 (628)"
06017,"""El Dorado, (CA)""",30.5,"0.0 - 32.6 (652)"
06021,"""Glenn, (CA)""",47.7,"46.2 - 112.3 (634)"
06023,"""Humboldt, (CA)""",76.2,"46.2 - 112.3 (634)"
06031,"""Kings, (CA)""",39,"37.2 - 40.7 (628)"
06033,"""Lake, (CA)""",40.1,"37.2 - 40.7 (628)"
06035,"""Lassen, (CA)""",35.9,"32.7 - 37.1 (650)"
06041,"""Marin, (CA)""",22.7,"0.0 - 32.6 (652)"
06043,"""Mariposa, (CA)""",40.2,"37.2 - 40.7 (628)"
06045,"""Mendocino, (CA)""",35.4,"32.7 - 37.1 (650)"
06047,"""Merced, (CA)""",40.7,"37.2 - 40.7 (628)"
06049,"""Modoc, (CA)""",36.9,"32.7 - 37.1 (650)"
06053,"""Monterey, (CA)""",33.1,"32.7 - 37.1 (650)"
06055,"""Napa, (CA)""",32,"0.0 - 32.6 (652)"
06057,"""Nevada, (CA)""",34.5,"32.7 - 37.1 (650)"
06061,"""Placer, (CA)""",36.5,"32.7 - 37.1 (650)"
06063,"""Plumas, (CA)""",39.2,"37.2 - 40.7 (628)"
06067,"""Sacramento, (CA)""",42.4,"40.8 - 46.1 (652)"
06069,"""San Benito, (CA)""",37.6,"37.2 - 40.7 (628)"
06075,"""San Francisco, (CA)""",33.9,"32.7 - 37.1 (650)"
06077,"""San Joaquin, (CA)""",50,"46.2 - 112.3 (634)"
06079,"""San Luis Obispo, (CA)""",50.2,"46.2 - 112.3 (634)"
06081,"""San Mateo, (CA)""",30.1,"0.0 - 32.6 (652)"
06083,"""Santa Barbara, (CA)""",32.7,"32.7 - 37.1 (650)"
06085,"""Santa Clara, (CA)""",29.9,"0.0 - 32.6 (652)"
06087,"""Santa Cruz, (CA)""",30.1,"0.0 - 32.6 (652)"
06089,"""Shasta, (CA)""",36.8,"32.7 - 37.1 (650)"
06091,"""Sierra, (CA)""",37,"32.7 - 37.1 (650)"
06093,"""Siskiyou, (CA)""",40.5,"37.2 - 40.7 (628)"
06095,"""Solano, (CA)""",46.3,"46.2 - 112.3 (634)"
06097,"""Sonoma, (CA)""",33.8,"32.7 - 37.1 (650)"
06099,"""Stanislaus, (CA)""",40.8,"40.8 - 46.1 (652)"
06101,"""Sutter, (CA)""",44.5,"40.8 - 46.1 (652)"
